상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드_명,행정동_코드_명,경도,위도
3110184,용두사거리,202616,453006,동대문구,용신동,127.02961452237629,37.576598215552956
3110185,용두초등학교,202597,452773,동대문구,용신동,127.0293986069025,37.57449895224492
3110186,종암초등학교,202689,453592,동대문구,제기동,127.03044307101194,37.58187782946985
3110187,제기동역 6번,202876,452949,동대문구,용신동,127.03255763774018,37.576083873726574
3110188,용두동신동아아파트,202873,452509,동대문구,용신동,127.0325219523249,37.57211950664692
3110189,제기동역 1번,202945,453360,동대문구,제기동,127.03334040032198,37.57978674126847
3110190,고대앞사거리,203021,453940,동대문구,제기동,127.03420318826822,37.58501225661796
3110195,동대문구청,203596,452957,동대문구,용신동,127.04070840517555,37.57615342395652
3110196,홍릉근린공원,203626,454245,동대문구,청량리동,127.04105439111026,37.587758100801
3110197,세종대왕기념관교차로,203649,454572,동대문구,청량리동,127.04131643081573,37.59070425456956
3110198,동대문중앙새마을금고본점,203744,453658,동대문구,제기동,127.04238741447575,37.58246880047867
3110199,홍릉시장,203766,453910,동대문구,제기동,127.04263778068552,37.58473921335797
3110200,동대문경찰서,203921,453959,동대문구,청량리동,127.04439291652311,37.585180052932714
3110201,전농119안전센터,204076,452936,동대문구,전농1동,127.04614211184621,37.57596221631625
3110202,전농1동주민센터(전농시장),204193,453064,동대문구,전농1동,127.04746733493131,37.57711496364349
3110203,떡전교사거리,204277,453931,동대문구,청량리동,127.04842332523857,37.58492619031005
3110191,고려대역 6번,203181,454240,동대문구,제기동,127.03601597985491,37.58771469603436
3110192,동의보감타워,203304,453083,동대문구,용신동,127.03740339685274,37.577289770260045
3110193,고려대역 4번,203326,454482,동대문구,제기동,127.03765879988195,37.58989458516888
3110194,홍파초등학교,203549,453894,동대문구,제기동,127.04018087997777,37.584595916352306
3110204,간데메공원,204495,452665,동대문구,답십리1동,127.05088371301225,37.573518572379605
3110205,경희대삼거리,204533,454605,동대문구,회기동,127.0513258738915,37.59099765389255
3110228,장안근린공원,206152,452923,동대문구,장안2동,127.0696432221665,37.5758335619501
3110229,장평중학교,206184,451672,동대문구,장안1동,127.06999492654315,37.56456190380795
