상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,평균_점포_수,평균_점포당_월매출,평균_총_유동인구,평균_2030비율,평균_폐업비율,평균_창업추천점수,추천순위
3110332,돌곶이역 3번,CS300001,슈퍼마켓,4.0,4962318.6875,419983.75,33.923414471309925,0.0,39.69791851195748,14981
3120002,서촌(경복궁역),CS200032,가전제품수리,4.0,748324.4166666667,1278404.75,35.38732198079496,0.0,39.69653823442575,14982
3110253,중곡초등학교,CS100001,한식음식점,22.75,9732362.426163811,743301.25,27.20600789554936,4.450757575757576,39.69297313256569,14983
3120236,장지역(가든파이브),CS200001,일반교습학원,25.0,9911994.271393327,202003.5,36.18142526898235,2.9744209092035176,39.69269264836139,14984
3120132,독산동,CS300032,가전제품,7.0,106464.9523809524,1024623.0,45.01080396615514,0.0,39.68771774431651,14985
3111053,성내천어린이공원(하니사랑길),CS300028,화초,3.25,4301025.361111111,1042014.0,28.662208110667933,8.333333333333332,39.687023914969004,14986
3130195,도화동 상점가,CS100004,양식음식점,12.5,1036090.7328504829,1520474.25,37.74732007141073,6.279137529137529,39.686433421907296,14987
3130063,신금호역 골목형상점가,CS200001,일반교습학원,3.0,15997828.805555556,121669.75,25.73408640621154,0.0,39.685990552111015,14988
3120036,장충동족발거리(남소영길),CS100003,일식음식점,4.0,2746816.1666666665,259187.25,46.31357422190056,0.0,39.68512695600827,14989
3110502,남가좌파출소,CS300033,철물점,3.0,755433.7777777778,1762024.0,29.798508185693734,0.0,39.679258931207556,14990
3110469,응암정보도서관,CS200016,당구장,6.0,2455523.222222222,1326404.5,27.338426950265678,0.0,39.67135370534396,14991
3120085,은행사거리,CS200019,PC방,6.5,19187289.007936507,436042.25,15.303799893484346,4.166666666666666,39.67008414526129,14992
3110611,신정역 1번,CS200028,미용실,6.75,3076036.2162698414,1224510.0,29.310149899532934,8.333333333333332,39.6650870977266,14993
3130200,"신월7동 골목시장(약수시장, 우성상가)",CS300001,슈퍼마켓,4.0,24000000.0,62720.5,20.50893056062961,0.0,39.66226011219368,14994
3110741,독산2동주민센터,CS200001,일반교습학원,3.25,13823181.340277778,311732.5,27.023137761159795,8.333333333333332,39.659115736640096,14995
3130236,비단길현대시장(현대시장),CS100001,한식음식점,36.0,8089106.160728911,511875.0,30.79155249975937,2.0270270270270268,39.65746235606732,14996
3120247,굽은다리역,CS200019,PC방,5.0,6770640.7,640177.0,27.03116473560818,0.0,39.653734868615295,14997
3110221,의릉,CS100009,호프-간이주점,4.0,8440583.5625,404080.75,28.54153771936882,0.0,39.65336581045173,14998
3110473,구산역 1번,CS300028,화초,3.0,1208276.2222222222,1647900.3333333333,28.65331570518518,0.0,39.6513827379195,14999
3130204,경창시장,CS300009,청과상,5.0,20528380.316666666,196309.25,20.326239993660728,0.0,39.65127694124594,15000
3110129,성원어린이공원,CS300001,슈퍼마켓,3.0,4679402.222222222,177506.75,39.801036391341,0.0,39.6487894892235,15001
3110835,상도역 1번,CS200001,일반교습학원,4.0,3679074.0625,194131.0,43.556980391543185,0.0,39.64108355476823,15002
3110606,신한은행 신월동지점,CS100010,커피-음료,5.0,3944356.2,1412363.0,21.209881279315518,0.0,39.63773250664305,15003
3120162,방배동카페골목,CS200030,피부관리실,6.0,8331891.694444444,634301.75,24.565129137278863,0.0,39.636736049601424,15004
3130110,면목골목시장(면목시장),CS100010,커피-음료,3.0,13527647.166666668,364146.0,23.47205644875556,0.0,39.63483909064068,15005
3120142,대림역,CS200016,당구장,8.75,1395231.1462391776,1758545.0,29.451164099689933,3.571428571428571,39.63475051668143,15006
3110929,남부터미널역 1번,CS200031,세탁소,4.0,1466549.8333333333,1519142.0,28.62676267259029,0.0,39.62983466194272,15007
3110934,우면주공아파트,CS100001,한식음식점,15.5,9127052.56736111,498590.25,27.94921756933343,1.6666666666666667,39.62607764983761,15008
3110176,해오름공원,CS300009,청과상,4.0,3090753.833333333,1299290.0,25.883705011851823,0.0,39.6237378210806,15009
3110673,뜸부기어린이공원,CS300031,가구,5.5,6671022.166666667,712914.25,29.201052644894098,5.0,39.6231989961618,15010
3120245,둔촌역,CS200024,스포츠클럽,13.5,3011976.5138125764,1422267.25,26.855180327206405,1.7857142857142856,39.61833480956599,15011
3110204,간데메공원,CS200028,미용실,10.0,1518098.3083333333,1523889.5,28.328507808978486,0.0,39.6166076173605,15012
3120081,노원역,CS300004,핸드폰,53.25,130145.74961296565,5005746.5,32.63037076551363,1.8787109117297796,39.61456303513434,15013
